GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators,CycleValidator,0,61,2,6,0,21,2,10,0,8
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Exceptions,Groupe6INF2050Exception,0,4,0,0,0,2,0,1,0,1
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.HoursCalculators.OrdersHoursTotalCalculators,GeologueTotalHoursValidator,6,26,0,2,2,8,2,3,2,2
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.HoursCalculators.OrdersHoursTotalCalculators,PodiatresTotalHoursValidator,6,26,0,2,2,8,2,3,2,2
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.HoursCalculators.OrdersHoursTotalCalculators,ArchitectesTotalHoursValidator,3,28,0,7,1,9,1,6,1,2
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.HoursCalculators.OrdersHoursTotalCalculators,PsychologueTotalHoursValidator,6,26,0,2,2,8,2,3,2,2
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.Generics.Calculator,ActivityHoursCalculator,3,101,0,8,1,24,1,9,1,5
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.Generics.Calculator,ActivityHoursCalculator.Activity,0,18,0,0,0,5,0,1,0,1
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.Generics.ActivityFilter,ActivityJsonBuilderByCategoriesConditions,6,60,0,4,2,13,0,7,0,5
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.Generics.ActivityFilter,ActivityJsonBuilderByCategoriesConditions.Activity,0,18,0,0,0,6,0,3,0,3
inf2050-a24-projet-equipe6,GROUPE6_INF2050,Main,18,0,0,0,7,0,2,0,2,0
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Reporting,ActivityStatistics,3,78,3,5,1,16,4,4,1,3
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Reporting,Statistics,5,90,1,4,1,31,1,9,0,7
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Reporting,StatisticsData,31,322,2,10,0,80,5,35,3,31
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.GeneralsRulesValidators,OrderValidatorRule,0,29,0,2,0,7,0,3,0,2
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.GeneralsRulesValidators,CycleValidatorRule,0,41,1,3,0,7,1,3,0,2
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.GeneralsRulesValidators,JsonFieldsValidatorRule,43,192,9,19,7,30,7,15,0,8
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.GeneralsRulesValidators,HoursValidatorRule,6,38,1,5,2,8,1,5,0,3
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.GeneralsRulesValidators,PermitNumberValidatorRule,23,180,9,22,9,39,9,21,0,13
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.GeneralsRulesValidators,PersonValidatorRule,0,126,1,21,0,29,1,16,0,6
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.GeneralsRulesValidators,DescriptionValidatorRule,12,31,2,4,4,7,2,4,0,3
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.HoursCalculators,CalculateMinHoursByOrderCategoryConditions,3,207,1,11,1,54,2,19,1,13
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.HoursCalculators,CalculateMaxByHoursOrderCategoryConditions,3,108,1,3,1,29,2,8,1,7
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.HoursCalculators,CalculateMinHoursByOrderCategoryConditions.CategoryRequirement,0,9,0,0,0,1,0,1,0,1
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Handlers,HandleGeneralRulesValidator,3,167,1,9,1,38,1,12,0,8
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Handlers,JsonHandler,0,157,1,1,0,49,1,12,0,12
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Handlers,HandleTotalHoursByCategory,61,64,7,4,18,16,15,5,8,5
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Handlers,ApplicationRunner,42,182,5,21,13,49,6,19,1,11
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Handlers,ErrorHandler,4,57,0,2,1,19,1,9,1,8
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Utilities,JsonFileUtility,14,94,0,0,4,26,0,7,0,7
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Utilities,FileTypeDetermine,0,21,0,2,0,6,0,3,0,2
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Utilities,FileUtility,0,9,0,0,0,4,0,1,0,1
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Utilities,StatisticsFileManager,15,207,0,2,4,46,2,13,2,12
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Utilities,FilePathResolver,33,0,4,0,9,0,4,0,2,0
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Enums,ActivityCategory,0,124,0,4,0,23,0,7,0,5
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Enums,ActivityOrder,0,152,0,20,0,25,0,17,0,7
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Enums,Cycle,0,135,0,4,0,19,0,8,0,6
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.GeneralValidators,DateValidator,3,12,0,0,1,5,1,1,1,1
inf2050-a24-projet-equipe6,GROUPE6_INF2050.Validators.GeneralValidators,TransferredHoursValidator,3,37,0,6,1,13,1,6,1,3
